GENERATION,GENERATION_STATUS,SHEET_YEAR,COLUMN_INDEX,COLUMN_LETTER,GROUP_HEADER,SOURCE_HEADER,COMPONENT_GROUP,COMPONENT_NAME,MEASURE_BASIS,CANONICAL_FIELD,PERIOD_TYPE,PERIOD_KEY,CURRENCY_SCOPE,NEEDS_REVIEW,REVIEW_REASON,RESOLUTION_NOTE
2024-89col,SUPPORTED,2024,0,A,Employee basic data,No,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,ROW_NUMBER,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,1,B,Employee basic data,SAP Employee ID,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,EMPLOYEE_SAP_ID,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,2,C,Employee basic data,SAP Staff Name,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,EMPLOYEE_NAME,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,3,D,Employee basic data,Join Date,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,JOIN_DATE,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,4,E,Employee basic data,Termination Date,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,LEAVE_DATE,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,5,F,Employee basic data,Division,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,DIVISION,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,6,G,Employee basic data,BU,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,BUSINESS_UNIT,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,7,H,Employee basic data,Company Code,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,SUBSIDIARY,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,8,I,Employee basic data,Department,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,DEPARTMENT,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,9,J,Employee basic data,Sub-Department,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,SUB_DEPARTMENT,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,10,K,Employee basic data,Position,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,POSITION,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,11,L,Employee basic data,Team,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,TEAM,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,12,M,Employee basic data,QIMA Office,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,OFFICE,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,13,N,Employee basic data,Full Time / Part time,EMPLOYEE,EMPLOYEE_ATTR,ATTRIBUTE,CONTRACT_TYPE,,,NA,FALSE,,
2024-89col,SUPPORTED,2024,14,O,Salary detail,Current basic Salary Package,SALARY,MONTHLY_GROSS_SALARY,RATE,MONTHLY_GROSS_SALARY,,,LOCAL,FALSE,,"Split from CONTRACT_SALARY: four separate contractual columns shared one component name, colliding on the fact grain. TOTAL_MONTHLY_SALARY_COST is the sum of the other three, so summing them double-counted."
