GENERATION,SHEET_YEAR,COLUMN_INDEX,COLUMN_LETTER,GROUP_HEADER,SOURCE_HEADER,SAMPLE_LOAD_ID
2024-89col,2024,0,A,Employee basic data,No,811
2024-89col,2024,1,B,Employee basic data,SAP Employee ID,811
2024-89col,2024,2,C,Employee basic data,SAP Staff Name,811
2024-89col,2024,3,D,Employee basic data,Join Date,811
2024-89col,2024,4,E,Employee basic data,Termination Date,811
2024-89col,2024,5,F,Employee basic data,Division,811
2024-89col,2024,6,G,Employee basic data,BU,811
2024-89col,2024,7,H,Employee basic data,Company Code,811
2024-89col,2024,8,I,Employee basic data,Department,811
2024-89col,2024,9,J,Employee basic data,Sub-Department,811
2024-89col,2024,10,K,Employee basic data,Position,811
2024-89col,2024,11,L,Employee basic data,Team,811
2024-89col,2024,12,M,Employee basic data,QIMA Office,811
2024-89col,2024,13,N,Employee basic data,Full Time / Part time,811
2024-89col,2024,14,O,Salary detail,Current basic Salary Package,811
2024-89col,2024,15,P,Salary detail,"Monthly Allowance / KPI Bonus Entitled
/2nd part of salary/ Extra",811
2024-89col,2024,16,Q,Salary detail,"QIMA Social Charges Contribution (MPF / provident fund, housing fund,etc.)",811
2024-89col,2024,17,R,Salary detail,Current Total Monthly Salary cost,811
2024-89col,2024,18,S,Salary detail,Local Currency,811
2024-89col,2024,19,T,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-01-01T00:00:00,811
2024-89col,2024,20,U,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-02-01T00:00:00,811
2024-89col,2024,21,V,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-03-01T00:00:00,811
2024-89col,2024,22,W,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-04-01T00:00:00,811
2024-89col,2024,23,X,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-05-01T00:00:00,811
2024-89col,2024,24,Y,QIMA 2024 Monthly Total Salary cost (local Currency)--not included any bonus or commission,2024-06-01T00:00:00,811
